"STATE","CITY","LAT","LON","NAME"
"AL","Montgomery",32.331029,-86.247158,"Loveless Academic Magnet Program High School"
"AL","Montgomery",32.323758,-86.219659,"Brewbaker Technology Magnet High School"
"AL","Montgomery",32.313749,-86.173342,"Park Crossing High School"
"AL","Montgomery",32.329029,-86.245744,"Montgomery Preparatory Academy for Career Technologies"
"AL","Danville",34.4168,-87.0935,"Danville High School"
"AL","Falkville",34.3663,-86.9123,"Falkville High School"
"AL","Decatur",34.550065,-86.896765,"Priceville High School"
"AL","Trinity",34.5853,-87.0795,"West Morgan High School"
"AL","Somerville",34.413285,-86.705017,"Morgan County Schools Technology Park"
"AL","Hartselle",34.44874,-86.843235,"Morgan County Learning Center"
"AL","Somerville",34.413285,-86.705017,"Albert P Brewer High School"
"AL","Mountain Brook",33.491317,-86.711931,"Mountain Brook High School"
"AL","Muscle Shoals",34.743045,-87.646949,"Muscle Shoals High School"
"AL","Muscle Shoals",34.741994,-87.643601,"Muscle Shoals Career Academy"
"AL","Oneonta",33.933883,-86.497175,"Oneonta High School"
"AL","Opelika",32.668149,-85.369438,"Opelika High School"
"AL","Opp",31.2886,-86.2395,"Opp High School"
"AL","Oxford",33.611216,-85.831382,"Oxford High School"
"AL","Oxford",33.611216,-85.831382,"Oxford Area Vocational School"
"AL","Ozark",31.459527,-85.625957,"Carroll High School"
"AL","Ozark",31.461479,-85.629674,"Carroll High School Career Center"
"AL","Pell City",33.583875,-86.294403,"Pell City High School"
"AL","Phenix City",32.485,-85.0397,"Central High School"
"AL","Aliceville",33.1235,-88.1483,"Aliceville High School"
"AL","Reform",33.375263,-88.014678,"Pickens County High School"
"AL","Gordo",33.325,-87.9067,"Gordo High School"
"AL","Carrollton",33.255347,-88.168439,"Ladow Technical Center"
"AL","Piedmont",33.928973,-85.622573,"Piedmont High School"
"AL","Brundidge",31.7112,-85.8179,"Pike County High School"
"AL","Goshen",31.722991,-86.123928,"Goshen High School"
